,counter,col_selection,HISTORY,FILTERS1,KERNEL_SIZE1,PADDING1,DILATION_RATE1,CONV_ACTIVATION,CONV2,POOL_SIZE1,CONV_POOL2,STEP_FACTOR,OPEN_END,DEPTH,LSTM1,LSTM_ACTIVATION,DROPOUT,DENSE_UNITS,ACTIVATION2,OPTIMIZER,mse,mae,mre_3,mre_5,mre_10,train_samples,test_samples,train_time
0,0,[],3,64,5,same,1,relu,True,5,False,121,False,1,100,relu,0.2,100,relu,0.001,0.008183892763077532,0.04704603112103534,0.030562292463908954,0.03591204577290296,0.039651984355666164,4841,2684,267.7
1,1,"['DR_REGENM_10', 'RI_REGENM_10']",3,64,5,same,1,relu,True,5,False,121,False,1,100,relu,0.2,100,relu,0.001,0.008184443501549826,0.04706737088164439,0.030650193055409596,0.03610935591369485,0.03989760610198253,4746,2676,244.83
2,2,"['U_BOOL_10', 'T_DRYB_10', 'TN_10CM_PAST_6H_10', 'T_DEWP_10', 'TN_DRYB_10', 'T_WETB_10', 'TX_DRYB_10', 'U_10']",3,64,5,same,1,relu,True,5,False,121,False,1,100,relu,0.2,100,relu,0.001,0.009403594190746788,0.052201423717268346,0.034263410090247005,0.040540376917732816,0.04498268606377716,4731,2510,256.87
3,3,"['P_NAP_MSL_10', 'VV_10', 'AH_10', 'MOR_10']",3,64,5,same,1,relu,True,5,False,121,False,1,100,relu,0.2,100,relu,0.001,0.00841650165967257,0.04792025250791045,0.031335318472336365,0.03690348934381568,0.04091211954647317,4586,2654,239.69
4,4,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,64,5,same,1,relu,True,5,False,121,False,1,100,relu,0.2,100,relu,0.001,0.008540535321665706,0.04808387362801442,0.03137531407164868,0.03698035175841566,0.040915047917060514,4732,2679,259.57
5,5,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,64,5,same,1,relu,True,5,False,121,False,1,100,relu,0.2,100,relu,0.001,0.007729023145910813,0.04650033859471041,0.029990712871240464,0.03508664987591664,0.03847078699161534,4729,2677,249.41
6,6,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,64,5,same,1,relu,True,5,False,121,False,1,100,relu,0.2,100,relu,0.001,0.00802260774077165,0.049115628635479726,0.03173978127977907,0.037124935488173506,0.040639358318252244,4719,2677,261.37
7,7,"['181', '192', '226', '262', '288', '317', '373', '380', '532']",3,64,5,same,1,relu,True,5,False,121,False,1,100,relu,0.2,100,relu,0.001,0.008881208311057032,0.049548797908687846,0.031612008504923954,0.03694970740584107,0.04043938846885945,2419,1659,140.96
8,8,[],3,64,5,same,1,relu,True,7,False,121,False,1,100,relu,0.2,100,relu,0.001,0.008269899033008505,0.046975383029679865,0.03060383520874688,0.03605477126753374,0.0399169784862065,4841,2684,235.21
9,9,"['DR_REGENM_10', 'RI_REGENM_10']",3,64,5,same,1,relu,True,7,False,121,False,1,100,relu,0.2,100,relu,0.001,0.00816318211025113,0.04669936053690987,0.0303573146636211,0.03570673028095822,0.039376910561775676,4746,2676,231.36
10,10,"['U_BOOL_10', 'T_DRYB_10', 'TN_10CM_PAST_6H_10', 'T_DEWP_10', 'TN_DRYB_10', 'T_WETB_10', 'TX_DRYB_10', 'U_10']",3,64,5,same,1,relu,True,7,False,121,False,1,100,relu,0.2,100,relu,0.001,0.008990409271497551,0.04949322817703629,0.032354047229236016,0.03821896197082881,0.04236876786715653,4731,2510,239.46
11,11,"['P_NAP_MSL_10', 'VV_10', 'AH_10', 'MOR_10']",3,64,5,same,1,relu,True,7,False,121,False,1,100,relu,0.2,100,relu,0.001,0.008719991035106357,0.04693733092476718,0.03068359250420896,0.03619081187264613,0.04015778176045321,4586,2654,227.89
12,12,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,64,5,same,1,relu,True,7,False,121,False,1,100,relu,0.2,100,relu,0.001,0.008394298984973386,0.04804647638777771,0.031384263800361786,0.03700275624589296,0.0409440526179084,4732,2679,245.26
13,13,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,64,5,same,1,relu,True,7,False,121,False,1,100,relu,0.2,100,relu,0.001,0.007718181971636349,0.045217888388844635,0.029163665589043236,0.034086036207359685,0.037474742780343996,4729,2677,234.76
14,14,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,64,5,same,1,relu,True,7,False,121,False,1,100,relu,0.2,100,relu,0.001,0.007995933478582613,0.04730168014631009,0.030504765606085865,0.03568024751407307,0.03908274000962945,4719,2677,251.17
15,15,"['181', '192', '226', '262', '288', '317', '373', '380', '532']",3,64,5,same,1,relu,True,7,False,121,False,1,100,relu,0.2,100,relu,0.001,0.009113343609057648,0.050952039457134626,0.03258430247782221,0.03811781797512675,0.04159195528817124,2419,1659,133.61
