,counter,col_selection,HISTORY,STEP_FACTOR,LEVEL,WAVELET,FILTERS1,KERNEL_SIZE1,PADDING1,DILATION_RATE1,ACTIVATION1,CONV2,POOL_SIZE1,CONV_POOL2,LSTM1,DROPOUT,ACTIVATION2,OPTIMIZER,mse,mae,mre_3,train_samples,test_samples,train_time,DEPTH
0,0,[],3,1,0,haar,64,5,same,1,relu,TRUE,5,FALSE,70,0.2,relu,Adam,0.008495107,0.046879971,0.030856715,9149,5070,505.75,1
1,1,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,1,0,haar,64,5,same,1,relu,TRUE,5,FALSE,70,0.2,relu,Adam,0.008535298,0.047570828,0.031372894,8944,5061,484.19,1
2,2,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,0,haar,64,5,same,1,relu,TRUE,5,FALSE,70,0.2,relu,Adam,0.007784145,0.045126243,0.029363039,8937,5058,460.48,1
3,3,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,0,haar,64,5,same,1,relu,TRUE,5,FALSE,70,0.2,relu,Adam,0.007793494,0.046198774,0.030193995,8919,5058,489.15,1
4,4,[],3,1,1,haar,64,5,same,1,relu,TRUE,5,FALSE,70,0.2,relu,Adam,0.008957458,0.048626367,0.031972213,9149,5070,817.63,1
5,5,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,1,1,haar,64,5,same,1,relu,TRUE,5,FALSE,70,0.2,relu,Adam,0.009010121,0.048134552,0.031785759,8944,5061,837.71,1
6,6,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,1,haar,64,5,same,1,relu,TRUE,5,FALSE,70,0.2,relu,Adam,0.007628474,0.045642238,0.029764103,8937,5058,808.65,1
7,7,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,1,haar,64,5,same,1,relu,TRUE,5,FALSE,70,0.2,relu,Adam,0.007691898,0.046957425,0.030647554,8919,5058,845.87,1
8,8,[],3,1,2,haar,64,5,same,1,relu,TRUE,5,FALSE,70,0.2,relu,Adam,0.009091007,0.049677628,0.032578362,9149,5070,1191.8,1
9,9,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,1,2,haar,64,5,same,1,relu,TRUE,5,FALSE,70,0.2,relu,Adam,0.009545135,0.052065683,0.034335397,8944,5061,1211.15,1
10,10,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,2,haar,64,5,same,1,relu,TRUE,5,FALSE,70,0.2,relu,Adam,0.008065601,0.047668852,0.030853217,8937,5058,1179.35,1
11,11,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,2,haar,64,5,same,1,relu,TRUE,5,FALSE,70,0.2,relu,Adam,0.008211105,0.046856971,0.030454966,8919,5058,1216.82,1
12,12,[],3,1,3,haar,64,5,same,1,relu,TRUE,5,FALSE,70,0.2,relu,Adam,0.021175422,0.086721538,0.05835116,9149,5070,1552.64,1
13,13,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,1,3,haar,64,5,same,1,relu,TRUE,5,FALSE,70,0.2,relu,Adam,0.019937476,0.08400765,0.056613491,8944,5061,1544.67,1
14,14,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,3,haar,64,5,same,1,relu,TRUE,5,FALSE,70,0.2,relu,Adam,0.019195262,0.083207445,0.055736425,8937,5058,1528,1
