,counter,col_selection,HISTORY,FILTERS1,KERNEL_SIZE1,PADDING1,DILATION_RATE1,CONV_ACTIVATION,CONV2,POOL_SIZE1,CONV_POOL2,STEP_FACTOR,OPEN_END,DEPTH,LSTM1,LSTM_ACTIVATION,DROPOUT,DENSE_UNITS,ACTIVATION2,OPTIMIZER,mse,mae,mre_3,mre_5,mre_10,train_samples,test_samples,train_time
0,0,[],3,32,3,same,1,relu,False,3,True,121,False,1,100,relu,0.2,100,relu,0.001,0.008618655792485545,0.04784026485720558,0.03123910920057082,0.03676455014847558,0.04086465227379031,4841,2684,156.83
1,1,"['181', '192', '226', '262', '288', '317', '373', '380', '532']",3,32,3,same,1,relu,False,3,True,121,False,1,100,relu,0.2,100,relu,0.001,0.009113082161726842,0.05241937468171035,0.033470313310775456,0.039171963576735205,0.04264552405195849,2419,1659,85.24
2,2,"['DR_REGENM_10', 'RI_REGENM_10']",3,32,3,same,1,relu,False,3,True,121,False,1,100,relu,0.2,100,relu,0.001,0.008577195641948018,0.04864362474539894,0.0317742640977787,0.03746023503204599,0.04163439909196001,4746,2676,144.0
3,3,"['U_BOOL_10', 'T_DRYB_10', 'TN_10CM_PAST_6H_10', 'T_DEWP_10', 'TN_DRYB_10', 'T_WETB_10', 'TX_DRYB_10', 'U_10']",3,32,3,same,1,relu,False,3,True,121,False,1,100,relu,0.2,100,relu,0.001,0.009622045128166268,0.05415962232082813,0.035428826041285374,0.04188412725885277,0.046441696059417996,4731,2510,150.79
4,4,"['P_NAP_MSL_10', 'VV_10', 'AH_10', 'MOR_10']",3,32,3,same,1,relu,False,3,True,121,False,1,100,relu,0.2,100,relu,0.001,0.008792833112544115,0.05082454130553504,0.033234617350534824,0.039186023986703296,0.04355587053366833,4586,2654,141.08
5,5,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,32,3,same,1,relu,False,3,True,121,False,1,100,relu,0.2,100,relu,0.001,0.009008108619664362,0.0504522146539214,0.032961469683005055,0.038750235187169774,0.042778539074019795,4732,2679,157.42
6,6,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,32,3,same,1,relu,False,3,True,121,False,1,100,relu,0.2,100,relu,0.001,0.008046592102819643,0.04781463406489475,0.03087656224063136,0.03615505910573686,0.03966918457453348,4729,2677,143.96
7,7,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,32,3,same,1,relu,False,3,True,121,False,1,100,relu,0.2,100,relu,0.001,0.008116204678650998,0.047372061815140906,0.03068889862449585,0.03593338213321691,0.03931647116264006,4719,2677,160.57
8,8,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', '181', '192', '226', '262', '288', '317', '373', '380', '532']",3,32,3,same,1,relu,False,3,True,121,False,1,100,relu,0.2,100,relu,0.001,0.009681210424698938,0.054398254147901476,0.03498736866000738,0.04094710003854151,0.04477314829112897,2338,1654,89.05
9,9,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",3,32,3,same,1,relu,False,3,True,121,False,1,100,relu,0.2,100,relu,0.001,0.00937722190557707,0.0593988637282915,0.038816593159966106,0.045641987633924935,0.05070294395932855,4841,2684,156.55
10,10,[],3,32,3,same,1,relu,False,5,True,121,False,1,100,relu,0.2,100,relu,0.001,0.0108797216154818,0.0569056828889203,0.03730339068766689,0.04399777673299493,0.04850883506097681,4841,2684,142.59
11,11,"['181', '192', '226', '262', '288', '317', '373', '380', '532']",3,32,3,same,1,relu,False,5,True,121,False,1,100,relu,0.2,100,relu,0.001,0.011576073525207418,0.0612639733973825,0.0396105674678262,0.046420651822660794,0.050823224893428935,2419,1659,85.1
12,12,"['DR_REGENM_10', 'RI_REGENM_10']",3,32,3,same,1,relu,False,5,True,121,False,1,100,relu,0.2,100,relu,0.001,0.010410733492360859,0.05675166561927806,0.0370080164195534,0.043471226654631434,0.047884948921072985,4746,2676,141.75
13,13,"['U_BOOL_10', 'T_DRYB_10', 'TN_10CM_PAST_6H_10', 'T_DEWP_10', 'TN_DRYB_10', 'T_WETB_10', 'TX_DRYB_10', 'U_10']",3,32,3,same,1,relu,False,5,True,121,False,1,100,relu,0.2,100,relu,0.001,0.013266712683135538,0.06638416341074883,0.04370166651631662,0.05172483387281697,0.057199786726558025,4731,2510,149.44
14,14,"['P_NAP_MSL_10', 'VV_10', 'AH_10', 'MOR_10']",3,32,3,same,1,relu,False,5,True,121,False,1,100,relu,0.2,100,relu,0.001,0.012203997222813883,0.061612500086897885,0.04059842957731999,0.04803666028616299,0.05302790577532962,4586,2654,139.72
15,15,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,32,3,same,1,relu,False,5,True,121,False,1,100,relu,0.2,100,relu,0.001,0.0117406944763884,0.06213079535067441,0.040934133934586066,0.048343774396721426,0.05336034824904548,4732,2679,154.13
16,16,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,32,3,same,1,relu,False,5,True,121,False,1,100,relu,0.2,100,relu,0.001,0.009608361142022522,0.053539955481743465,0.03478491489650839,0.04082936304262547,0.04480780730943633,4729,2677,142.8
17,17,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,32,3,same,1,relu,False,5,True,121,False,1,100,relu,0.2,100,relu,0.001,0.009899985234529203,0.05705326875530488,0.03707691453106859,0.043464633587736994,0.0475575582556405,4719,2677,160.41
18,18,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', '181', '192', '226', '262', '288', '317', '373', '380', '532']",3,32,3,same,1,relu,False,5,True,121,False,1,100,relu,0.2,100,relu,0.001,0.011820869007625995,0.06333990039502002,0.041193346533399774,0.048283998453934066,0.05300698326347705,2338,1654,88.24
19,19,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",3,32,3,same,1,relu,False,5,True,121,False,1,100,relu,0.2,100,relu,0.001,0.012181414620608087,0.06929650917777473,0.045539829126388744,0.053753920380768046,0.05925754145247987,4841,2684,155.75
20,20,[],3,32,3,same,1,relu,False,3,True,121,False,1,100,relu,0.2,100,relu,0.0001,0.008735084838122582,0.04802897814751004,0.031211851638436594,0.03672248461738314,0.0406231089976552,4841,2684,141.9
21,21,"['181', '192', '226', '262', '288', '317', '373', '380', '532']",3,32,3,same,1,relu,False,3,True,121,False,1,100,relu,0.2,100,relu,0.0001,0.009330575287798362,0.05236192650869511,0.033451203172535394,0.03911265014305995,0.042663483190580144,2419,1659,84.91
22,22,"['DR_REGENM_10', 'RI_REGENM_10']",3,32,3,same,1,relu,False,3,True,121,False,1,100,relu,0.2,100,relu,0.0001,0.008545586463514483,0.04783089197189597,0.03109201787756599,0.036550317848401404,0.04036857732837788,4746,2676,143.34
23,23,"['U_BOOL_10', 'T_DRYB_10', 'TN_10CM_PAST_6H_10', 'T_DEWP_10', 'TN_DRYB_10', 'T_WETB_10', 'TX_DRYB_10', 'U_10']",3,32,3,same,1,relu,False,3,True,121,False,1,100,relu,0.2,100,relu,0.0001,0.009242813190778958,0.050349065010267854,0.032889465072978075,0.03881966625818967,0.04297578043679927,4731,2510,150.21
24,24,"['P_NAP_MSL_10', 'VV_10', 'AH_10', 'MOR_10']",3,32,3,same,1,relu,False,3,True,121,False,1,100,relu,0.2,100,relu,0.0001,0.00831154713812663,0.04588973179825475,0.029819549273956285,0.03507443979849802,0.03889686002921915,4586,2654,139.7
25,25,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,32,3,same,1,relu,False,3,True,121,False,1,100,relu,0.2,100,relu,0.0001,0.008577966542744899,0.04715418959933031,0.03072653241399182,0.0361609840415181,0.039909195898128406,4732,2679,156.96
26,26,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,32,3,same,1,relu,False,3,True,121,False,1,100,relu,0.2,100,relu,0.0001,0.007630654076578987,0.044753365532556655,0.02875206997057097,0.033638796126520036,0.03689361660303897,4729,2677,144.24
27,27,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,32,3,same,1,relu,False,3,True,121,False,1,100,relu,0.2,100,relu,0.0001,0.007653162959452131,0.04460747641410438,0.028700953973177717,0.03358807652093958,0.036822170391431513,4719,2677,158.16
28,28,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', '181', '192', '226', '262', '288', '317', '373', '380', '532']",3,32,3,same,1,relu,False,3,True,121,False,1,100,relu,0.2,100,relu,0.0001,0.009975121469450173,0.05597498680075938,0.035917859853457794,0.0420136299845416,0.04590100701080171,2338,1654,88.68
29,29,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",3,32,3,same,1,relu,False,3,True,121,False,1,100,relu,0.2,100,relu,0.0001,0.009567512094134504,0.06131167267021857,0.04007954327766482,0.04713975462992417,0.051877064204571346,4841,2684,156.13
