,counter,col_selection,HISTORY,STEP_FACTOR,LEVEL,WAVELET,FILTERS1,KERNEL_SIZE1,PADDING1,DILATION_RATE1,ACTIVATION1,CONV2,POOL_SIZE1,CONV_POOL2,DENSE_UNITS,DROPOUT,ACTIVATION2,OPTIMIZER,mse,mae,mre_3,train_samples,test_samples,train_time
0,0,[],3,1,0,haar,64,5,same,1,relu,True,5,False,100,0.2,relu,Adam,0.00839904921573841,0.04811890927633308,0.03158432513958199,9149,5070,292.69
1,1,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,1,0,haar,64,5,same,1,relu,True,5,False,100,0.2,relu,Adam,0.008852123853682954,0.05034922394502716,0.03311966238937456,8944,5061,273.43
2,2,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,0,haar,64,5,same,1,relu,True,5,False,100,0.2,relu,Adam,0.00812698130354631,0.04795046787454696,0.03134723136337317,8937,5058,249.7
3,3,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,0,haar,64,5,same,1,relu,True,5,False,100,0.2,relu,Adam,0.007977990619928566,0.04722713731071839,0.030817584470482905,8919,5058,277.81
4,4,[],3,1,0,haar,64,5,same,1,relu,True,7,False,100,0.2,relu,Adam,0.009053930687800383,0.05020772042748477,0.033171947587139046,9149,5070,244.48
5,5,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,1,0,haar,64,5,same,1,relu,True,7,False,100,0.2,relu,Adam,0.008886735436642812,0.05044066514654959,0.03333718398961307,8944,5061,271.92
6,6,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,0,haar,64,5,same,1,relu,True,7,False,100,0.2,relu,Adam,0.007945179537061562,0.04871094832053208,0.03163668430720336,8937,5058,248.87
7,7,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,0,haar,64,5,same,1,relu,True,7,False,100,0.2,relu,Adam,0.008060526833677802,0.048044090422664124,0.031329737698714465,8919,5058,274.65
8,8,[],3,1,1,haar,64,5,same,1,relu,True,5,False,100,0.2,relu,Adam,0.008691348003356218,0.04913332221353118,0.03240421594423453,9149,5070,469.13
9,9,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,1,1,haar,64,5,same,1,relu,True,5,False,100,0.2,relu,Adam,0.009318557272849227,0.05079908921440916,0.03363231126544828,8944,5061,510.16
10,10,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,1,haar,64,5,same,1,relu,True,5,False,100,0.2,relu,Adam,0.007741041336283291,0.04692882744023754,0.03046299560781324,8937,5058,475.97
11,11,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,1,haar,64,5,same,1,relu,True,5,False,100,0.2,relu,Adam,0.007886328542131258,0.04730154325053601,0.03067017339899661,8919,5058,515.97
12,12,[],3,1,1,haar,64,5,same,1,relu,True,7,False,100,0.2,relu,Adam,0.01026516251871665,0.05515980071296027,0.036388687087778135,9149,5070,479.76
13,13,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,1,1,haar,64,5,same,1,relu,True,7,False,100,0.2,relu,Adam,0.009952100900969358,0.05485013249616791,0.0360032984713528,8944,5061,508.08
14,14,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,1,haar,64,5,same,1,relu,True,7,False,100,0.2,relu,Adam,0.008949620739318091,0.05186477533138815,0.03386762891583616,8937,5058,478.8
15,15,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,1,haar,64,5,same,1,relu,True,7,False,100,0.2,relu,Adam,0.008845944522265479,0.05194357819381462,0.033876721711788335,8919,5058,517.15
16,16,[],3,1,2,haar,64,5,same,1,relu,True,5,False,100,0.2,relu,Adam,0.009395291755770276,0.05141740466697562,0.033806477670648656,9149,5070,731.02
17,17,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,1,2,haar,64,5,same,1,relu,True,5,False,100,0.2,relu,Adam,0.009626634378673346,0.051264049796476654,0.033746741061404385,8944,5061,745.19
18,18,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,2,haar,64,5,same,1,relu,True,5,False,100,0.2,relu,Adam,0.00842950327922633,0.04880725958098632,0.0317711627461023,8937,5058,719.15
19,19,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,2,haar,64,5,same,1,relu,True,5,False,100,0.2,relu,Adam,0.008235391460319163,0.04902828853315453,0.031869985702911725,8919,5058,745.4
20,20,[],3,1,2,haar,64,5,same,1,relu,True,7,False,100,0.2,relu,Adam,0.011261383226921249,0.05833989396082439,0.03847201489138401,9149,5070,725.07
21,21,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,1,2,haar,64,5,same,1,relu,True,7,False,100,0.2,relu,Adam,0.011220216644547601,0.05929780105148439,0.03920229517952489,8944,5061,744.8
