,counter,col_selection,HISTORY,FILTERS1,KERNEL_SIZE1,PADDING1,DILATION_RATE1,CONV_ACTIVATION,CONV2,POOL_SIZE1,CONV_POOL2,STEP_FACTOR,OPEN_END,DEPTH,LSTM1,LSTM_ACTIVATION,DROPOUT,DENSE_UNITS,ACTIVATION2,OPTIMIZER,mse,mae,mre_3,mre_5,mre_10,train_samples,test_samples,train_time
0,0,[],3,16,3,same,1,relu,False,3,True,121,False,1,50,relu,0.2,100,relu,0.001,0.008602599703074114,0.04674818390092267,0.03069834445314604,0.03633261732799289,0.0405919516546232,4841,2684,408.74
1,1,"['181', '192', '226', '262', '288', '317', '373', '380', '532']",3,16,3,same,1,relu,False,3,True,121,False,1,50,relu,0.2,100,relu,0.001,0.008673356006482866,0.049988244110856166,0.031907777416888376,0.03734428582014569,0.04102979768461427,2419,1659,217.09
2,2,"['DR_REGENM_10', 'RI_REGENM_10']",3,16,3,same,1,relu,False,3,True,121,False,1,50,relu,0.2,100,relu,0.001,0.00847241586215219,0.04655396936294216,0.03052697236656336,0.036153983370675206,0.04064584466645071,4746,2676,387.64
3,3,"['U_BOOL_10', 'T_DRYB_10', 'TN_10CM_PAST_6H_10', 'T_DEWP_10', 'TN_DRYB_10', 'T_WETB_10', 'TX_DRYB_10', 'U_10']",3,16,3,same,1,relu,False,3,True,121,False,1,50,relu,0.2,100,relu,0.001,0.00928672748381855,0.050576688556441575,0.0332031676567212,0.039324089204095226,0.04387553290242674,4731,2510,389.26
4,4,"['P_NAP_MSL_10', 'VV_10', 'AH_10', 'MOR_10']",3,16,3,same,1,relu,False,3,True,121,False,1,50,relu,0.2,100,relu,0.001,0.008611442607973672,0.04861452935716354,0.0318095871607516,0.037598825227180076,0.041945355606472265,4586,2654,377.8
5,5,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,16,3,same,1,relu,False,3,True,121,False,1,50,relu,0.2,100,relu,0.001,0.009031332765473889,0.048548952237762885,0.03197001591322259,0.037812006308077246,0.04215900487679521,4732,2679,399.05
6,6,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,16,3,same,1,relu,False,3,True,121,False,1,50,relu,0.2,100,relu,0.001,0.00779927586339975,0.045371318698719784,0.029482490564905206,0.034574933186436875,0.03812851054920329,4729,2677,383.23
7,7,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,16,3,same,1,relu,False,3,True,121,False,1,50,relu,0.2,100,relu,0.001,0.007916345291587985,0.0469247035643538,0.03049912418883288,0.035880534396314466,0.0396657836638587,4719,2677,403.37
8,8,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', '181', '192', '226', '262', '288', '317', '373', '380', '532']",3,16,3,same,1,relu,False,3,True,121,False,1,50,relu,0.2,100,relu,0.001,0.008873667193530565,0.05144717016047603,0.03302075670499455,0.038567546188165276,0.04228700717216063,2338,1654,217.91
9,9,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",3,16,3,same,1,relu,False,3,True,121,False,1,50,relu,0.2,100,relu,0.001,0.011634400475341023,0.06377670912472584,0.04235014574574892,0.05018537132182418,0.05609144585069243,4841,2684,405.22
10,10,[],3,16,3,same,1,relu,False,3,True,121,False,1,50,relu,0.2,100,relu,0.0001,0.008347943280392366,0.04559192068601531,0.02983106290378995,0.035196123387849367,0.039320028808046185,4841,2684,389.71
11,11,"['181', '192', '226', '262', '288', '317', '373', '380', '532']",3,16,3,same,1,relu,False,3,True,121,False,1,50,relu,0.2,100,relu,0.0001,0.008823893272546596,0.04918340421301544,0.03154928764130669,0.0367785077178669,0.04012107541702764,2419,1659,215.9
12,12,"['DR_REGENM_10', 'RI_REGENM_10']",3,16,3,same,1,relu,False,3,True,121,False,1,50,relu,0.2,100,relu,0.0001,0.008381056239620249,0.04609718755329163,0.03005735134779942,0.03537607869028466,0.03936557550425607,4746,2676,387.24
13,13,"['U_BOOL_10', 'T_DRYB_10', 'TN_10CM_PAST_6H_10', 'T_DEWP_10', 'TN_DRYB_10', 'T_WETB_10', 'TX_DRYB_10', 'U_10']",3,16,3,same,1,relu,False,3,True,121,False,1,50,relu,0.2,100,relu,0.0001,0.009132535658268704,0.05114070057106245,0.03358032622232177,0.03967558413125864,0.04443117277866567,4731,2510,390.84
14,14,"['P_NAP_MSL_10', 'VV_10', 'AH_10', 'MOR_10']",3,16,3,same,1,relu,False,3,True,121,False,1,50,relu,0.2,100,relu,0.0001,0.008377832648339877,0.045471594308080565,0.02965228866987421,0.03499015193010135,0.038986988595718884,4586,2654,379.29
15,15,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,16,3,same,1,relu,False,3,True,121,False,1,50,relu,0.2,100,relu,0.0001,0.00858555820791786,0.04746983502238983,0.031081303848204178,0.03678007563810124,0.04117623043670374,4732,2679,401.28
16,16,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,16,3,same,1,relu,False,3,True,121,False,1,50,relu,0.2,100,relu,0.0001,0.007390027899766111,0.042661210885693565,0.02752716423368312,0.032232910267770004,0.03549103335079738,4729,2677,385.33
