,counter,col_selection,HISTORY,STEP_FACTOR,LEVEL,WAVELET,OPEN_END,DEPTH,LSTM1,FILTERS1,KERNEL_SIZE1,PADDING1,DILATION_RATE1,ACTIVATION1,CONV2,POOL_SIZE1,CONV_POOL2,DENSE_UNITS,DROPOUT,ACTIVATION2,OPTIMIZER,mse,mae,mre_3,train_samples,test_samples,train_time
0,0,[],3,1,0,haar,False,1,70,64,5,same,1,relu,True,5,False,100,0.2,relu,Adam,0.008357821851155129,0.04588067015267173,0.030293786643680244,9149,5070,772.35
1,1,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,1,0,haar,False,1,70,64,5,same,1,relu,True,5,False,100,0.2,relu,Adam,0.008773451841035462,0.046952728065399255,0.031047622076907224,8944,5061,746.71
2,2,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,0,haar,False,1,70,64,5,same,1,relu,True,5,False,100,0.2,relu,Adam,0.007333802406282972,0.043285820715025757,0.028294654749428896,8937,5058,726.01
3,3,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,0,haar,False,1,70,64,5,same,1,relu,True,5,False,100,0.2,relu,Adam,0.007538212663164873,0.045337842062997166,0.02961241268700682,8919,5058,753.3
4,4,[],3,1,0,haar,False,1,100,64,5,same,1,relu,True,5,False,100,0.2,relu,Adam,0.008555279297848904,0.047789958804933017,0.03152317804933808,9149,5070,759.0
5,5,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,1,0,haar,False,1,100,64,5,same,1,relu,True,5,False,100,0.2,relu,Adam,0.008676135246577663,0.04836721107027536,0.03204001913793743,8944,5061,768.63
6,6,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,0,haar,False,1,100,64,5,same,1,relu,True,5,False,100,0.2,relu,Adam,0.007371573272321181,0.04331988434876557,0.028318775109945887,8937,5058,745.92
7,7,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,0,haar,False,1,100,64,5,same,1,relu,True,5,False,100,0.2,relu,Adam,0.007513119095451288,0.045727068993292895,0.029912379767870277,8919,5058,776.9
8,8,[],3,1,0,haar,False,1,130,64,5,same,1,relu,True,5,False,100,0.2,relu,Adam,0.008419186325079406,0.04757507526862105,0.031438010477079545,9149,5070,808.03
9,9,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,1,0,haar,False,1,130,64,5,same,1,relu,True,5,False,100,0.2,relu,Adam,0.008963291054260886,0.04808391728267038,0.03181089488162781,8944,5061,825.69
10,10,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,0,haar,False,1,130,64,5,same,1,relu,True,5,False,100,0.2,relu,Adam,0.007356599386173834,0.04445371701657483,0.02891234823901292,8937,5058,805.27
11,11,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,0,haar,False,1,130,64,5,same,1,relu,True,5,False,100,0.2,relu,Adam,0.007598756812172792,0.045574605665642746,0.029804361417828683,8919,5058,829.47
12,12,[],3,1,1,haar,False,1,70,64,5,same,1,relu,True,5,False,100,0.2,relu,Adam,0.00846202252072031,0.0469703933434408,0.03095500084852149,9149,5070,1016.74
