,counter,col_selection,HISTORY,FILTERS1,KERNEL_SIZE1,PADDING1,DILATION_RATE1,CONV_ACTIVATION,CONV2,POOL_SIZE1,CONV_POOL2,STEP_FACTOR,OPEN_END,DEPTH,LSTM1,LSTM_ACTIVATION,DROPOUT,DENSE_UNITS,ACTIVATION2,OPTIMIZER,mse,mae,train_samples,test_samples,train_time
0,0,[],1,64,3,same,1,tanh,True,3,False,1,False,1,60,tanh,0.2,100,relu,0.001,0.017695863292525607,0.08455511495737364,546,333,73.11
1,1,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",1,64,3,same,1,tanh,True,3,False,1,False,1,60,tanh,0.2,100,relu,0.001,0.01751449978182605,0.08362949871424541,546,333,57.91
2,2,"['181', '192', '226', '262', '288', '317', '373', '380', '532']",1,64,3,same,1,tanh,True,3,False,1,False,1,60,tanh,0.2,100,relu,0.001,0.02016382009438212,0.09634944337825754,268,183,33.36
3,3,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos', '181', '192', '226', '262', '288', '317', '373', '380', '532']",1,64,3,same,1,tanh,True,3,False,1,False,1,60,tanh,0.2,100,relu,0.001,0.02017863480813417,0.09836768927125145,268,183,33.68
4,4,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos', 'FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', '181', '192', '226', '262', '288', '317', '373', '380', '532']",1,64,3,same,1,tanh,True,3,False,1,False,1,60,tanh,0.2,100,relu,0.001,0.01916251792840508,0.09457456429184194,260,182,32.9
5,5,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', '181', '192', '226', '262', '288', '317', '373', '380', '532']",1,64,3,same,1,tanh,True,3,False,1,False,1,60,tanh,0.2,100,relu,0.001,0.01912920901602759,0.09152748064570196,260,182,32.42
6,6,"['DR_REGENM_10', 'RI_REGENM_10']",1,64,3,same,1,tanh,True,3,False,1,False,1,60,tanh,0.2,100,relu,0.001,0.018102662271634526,0.08736773939507017,536,331,57.37
7,7,"['U_BOOL_10', 'T_DRYB_10', 'TN_10CM_PAST_6H_10', 'T_DEWP_10', 'TN_DRYB_10', 'T_WETB_10', 'TX_DRYB_10', 'U_10']",1,64,3,same,1,tanh,True,3,False,1,False,1,60,tanh,0.2,100,relu,0.001,0.017799488237926396,0.08550124733886927,534,315,57.99
8,8,"['P_NAP_MSL_10', 'VV_10', 'AH_10', 'MOR_10']",1,64,3,same,1,tanh,True,3,False,1,False,1,60,tanh,0.2,100,relu,0.001,0.017511490729034955,0.08208450847130631,510,327,55.93
9,9,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",1,64,3,same,1,tanh,True,3,False,1,False,1,60,tanh,0.2,100,relu,0.001,0.0169579314880567,0.08183411771714734,534,332,58.58
