,counter,col_selection,HISTORY,STEP_FACTOR,FILTERS1,KERNEL_SIZE1,PADDING1,DILATION_RATE1,CONV_ACTIVATION,CONV2,POOL_SIZE1,CONV_POOL2,LEVEL,WAVELET,OPEN_END,DEPTH,LSTM1,LSTM_ACTIVATION,DROPOUT,DENSE_UNITS,ACTIVATION2,OPTIMIZER,mse,mae,train_samples,test_samples,train_time
0,0,[],1,1,32,2,same,1,relu,True,2,False,1,haar,False,1,100,relu,0.2,100,relu,Adam,0.0176102121468138,0.08536293008079135,546,333,74.92
1,1,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",1,1,32,2,same,1,relu,True,2,False,1,haar,False,1,100,relu,0.2,100,relu,Adam,0.017496870235437726,0.0846553145824813,546,333,58.51
2,2,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",1,1,32,2,same,1,relu,True,2,False,1,haar,False,1,100,relu,0.2,100,relu,Adam,0.017009215838720976,0.0807137242397922,534,332,59.17
3,3,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,1,32,2,same,1,relu,True,2,False,1,haar,False,1,100,relu,0.2,100,relu,Adam,0.017318209149047366,0.08326910283328189,533,332,59.4
4,4,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,1,32,2,same,1,relu,True,2,False,1,haar,False,1,100,relu,0.2,100,relu,Adam,0.016428421117373998,0.08096753746754573,532,332,59.24
5,5,[],1,1,32,2,same,1,relu,True,3,False,1,haar,False,1,100,relu,0.2,100,relu,Adam,0.017638291659997238,0.08424551626298485,546,333,57.46
6,6,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",1,1,32,2,same,1,relu,True,3,False,1,haar,False,1,100,relu,0.2,100,relu,Adam,0.017666526063007334,0.08555658876495843,546,333,56.42
7,7,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",1,1,32,2,same,1,relu,True,3,False,1,haar,False,1,100,relu,0.2,100,relu,Adam,0.016757644585702093,0.08104386924152178,534,332,57.92
8,8,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,1,32,2,same,1,relu,True,3,False,1,haar,False,1,100,relu,0.2,100,relu,Adam,0.017236311867282323,0.08267060670387666,533,332,57.14
9,9,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,1,32,2,same,1,relu,True,3,False,1,haar,False,1,100,relu,0.2,100,relu,Adam,0.01681156534779334,0.0809167075529677,532,332,57.43
10,10,[],1,1,32,2,same,1,relu,True,4,False,1,haar,False,1,100,relu,0.2,100,relu,Adam,0.017686498105419942,0.08513199308774141,546,333,57.28
11,11,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",1,1,32,2,same,1,relu,True,4,False,1,haar,False,1,100,relu,0.2,100,relu,Adam,0.01768917126235487,0.08394719663986241,546,333,56.18
12,12,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",1,1,32,2,same,1,relu,True,4,False,1,haar,False,1,100,relu,0.2,100,relu,Adam,0.016939937680863992,0.08145565116761538,534,332,57.09
13,13,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,1,32,2,same,1,relu,True,4,False,1,haar,False,1,100,relu,0.2,100,relu,Adam,0.017277419301234928,0.08283381012058616,533,332,56.1
14,14,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,1,32,2,same,1,relu,True,4,False,1,haar,False,1,100,relu,0.2,100,relu,Adam,0.016762690357092463,0.08050244789388773,532,332,56.93
15,15,[],1,1,32,2,same,1,relu,True,2,False,2,haar,False,1,100,relu,0.2,100,relu,Adam,0.017741621648799187,0.08467607613564702,546,333,84.81
16,16,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",1,1,32,2,same,1,relu,True,2,False,2,haar,False,1,100,relu,0.2,100,relu,Adam,0.01770805292900442,0.08522491301680955,546,333,85.45
17,17,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",1,1,32,2,same,1,relu,True,2,False,2,haar,False,1,100,relu,0.2,100,relu,Adam,0.01681129005684865,0.08094356969756694,534,332,86.4
18,18,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,1,32,2,same,1,relu,True,2,False,2,haar,False,1,100,relu,0.2,100,relu,Adam,0.01740441052279657,0.083078569548286,533,332,85.67
19,19,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,1,32,2,same,1,relu,True,2,False,2,haar,False,1,100,relu,0.2,100,relu,Adam,0.016578377484126598,0.08093372186219291,532,332,86.16
20,20,[],1,1,32,2,same,1,relu,True,3,False,2,haar,False,1,100,relu,0.2,100,relu,Adam,0.017744603641535517,0.08526064734977706,546,333,82.92
21,21,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",1,1,32,2,same,1,relu,True,3,False,2,haar,False,1,100,relu,0.2,100,relu,Adam,0.0176316759285716,0.08582452438429244,546,333,83.01
22,22,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",1,1,32,2,same,1,relu,True,3,False,2,haar,False,1,100,relu,0.2,100,relu,Adam,0.01712237468228936,0.08243317008070251,534,332,84.01
23,23,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,1,32,2,same,1,relu,True,3,False,2,haar,False,1,100,relu,0.2,100,relu,Adam,0.01723166766654178,0.082617515827407,533,332,82.77
24,24,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,1,32,2,same,1,relu,True,3,False,2,haar,False,1,100,relu,0.2,100,relu,Adam,0.016873070825020632,0.0813798814630593,532,332,83.91
25,25,[],1,1,32,2,same,1,relu,True,4,False,2,haar,False,1,100,relu,0.2,100,relu,Adam,0.017609162005954693,0.08461942531879335,546,333,82.28
26,26,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",1,1,32,2,same,1,relu,True,4,False,2,haar,False,1,100,relu,0.2,100,relu,Adam,0.017568108699127612,0.08490211213927817,546,333,82.23
27,27,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",1,1,32,2,same,1,relu,True,4,False,2,haar,False,1,100,relu,0.2,100,relu,Adam,0.017383159930737444,0.08366011380415361,534,332,83.72
28,28,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,1,32,2,same,1,relu,True,4,False,2,haar,False,1,100,relu,0.2,100,relu,Adam,0.01731326410340739,0.08298382419648495,533,332,82.08
29,29,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,1,32,2,same,1,relu,True,4,False,2,haar,False,1,100,relu,0.2,100,relu,Adam,0.017092835721975244,0.08143112567306676,532,332,83.18
30,30,[],1,1,32,2,same,1,relu,True,2,False,3,haar,False,1,100,relu,0.2,100,relu,Adam,0.018010508428017005,0.08661900770065849,546,333,110.7
31,31,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",1,1,32,2,same,1,relu,True,2,False,3,haar,False,1,100,relu,0.2,100,relu,Adam,0.01757478323575037,0.08668433492887717,546,333,111.69
32,32,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",1,1,32,2,same,1,relu,True,2,False,3,haar,False,1,100,relu,0.2,100,relu,Adam,0.017003950171846315,0.08375215463611513,534,332,111.43
33,33,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,1,32,2,same,1,relu,True,2,False,3,haar,False,1,100,relu,0.2,100,relu,Adam,0.017471945156839176,0.08505918545807015,533,332,112.37
34,34,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,1,32,2,same,1,relu,True,2,False,3,haar,False,1,100,relu,0.2,100,relu,Adam,0.016754455268963128,0.08254781636148778,532,332,111.78
35,35,[],1,1,32,2,same,1,relu,True,3,False,3,haar,False,1,100,relu,0.2,100,relu,Adam,0.017937622206173905,0.0876548815657294,546,333,111.51
36,36,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",1,1,32,2,same,1,relu,True,3,False,3,haar,False,1,100,relu,0.2,100,relu,Adam,0.01767877650441997,0.08605294680375691,546,333,108.88
37,37,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",1,1,32,2,same,1,relu,True,3,False,3,haar,False,1,100,relu,0.2,100,relu,Adam,0.017577195881303593,0.08281050870818614,534,332,109.61
