,counter,col_selection,HISTORY,FILTERS1,KERNEL_SIZE1,PADDING1,DILATION_RATE1,CONV_ACTIVATION,CONV2,POOL_SIZE1,CONV_POOL2,STEP_FACTOR,OPEN_END,DEPTH,LSTM1,LSTM_ACTIVATION,DROPOUT,DENSE_UNITS,ACTIVATION2,OPTIMIZER,mse,mae,train_samples,test_samples,train_time
0,0,[],1,16,3,same,1,tanh,False,3,True,1,False,1,100,relu,0.2,100,relu,0.001,0.01771757201334636,0.08322903009437344,546,333,51.38
1,1,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",1,16,3,same,1,tanh,False,3,True,1,False,1,100,relu,0.2,100,relu,0.001,0.017532924928795837,0.0837955441252784,546,333,35.57
2,2,"['181', '192', '226', '262', '288', '317', '373', '380', '532']",1,16,3,same,1,tanh,False,3,True,1,False,1,100,relu,0.2,100,relu,0.001,0.019811711049090706,0.09440795652778528,268,183,20.47
3,3,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos', '181', '192', '226', '262', '288', '317', '373', '380', '532']",1,16,3,same,1,tanh,False,3,True,1,False,1,100,relu,0.2,100,relu,0.001,0.019258917956141423,0.09327905507051745,268,183,21.74
4,4,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos', 'FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', '181', '192', '226', '262', '288', '317', '373', '380', '532']",1,16,3,same,1,tanh,False,3,True,1,False,1,100,relu,0.2,100,relu,0.001,0.019292468249886015,0.08892692634193251,260,182,20.89
5,5,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', '181', '192', '226', '262', '288', '317', '373', '380', '532']",1,16,3,same,1,tanh,False,3,True,1,False,1,100,relu,0.2,100,relu,0.001,0.01947687939489073,0.09285752820583015,260,182,22.16
6,6,"['DR_REGENM_10', 'RI_REGENM_10']",1,16,3,same,1,tanh,False,3,True,1,False,1,100,relu,0.2,100,relu,0.001,0.017817141671623012,0.08467161959132716,536,331,42.88
7,7,"['U_BOOL_10', 'T_DRYB_10', 'TN_10CM_PAST_6H_10', 'T_DEWP_10', 'TN_DRYB_10', 'T_WETB_10', 'TX_DRYB_10', 'U_10']",1,16,3,same,1,tanh,False,3,True,1,False,1,100,relu,0.2,100,relu,0.001,0.01776370378150479,0.08380871359434397,534,315,44.49
8,8,"['P_NAP_MSL_10', 'VV_10', 'AH_10', 'MOR_10']",1,16,3,same,1,tanh,False,3,True,1,False,1,100,relu,0.2,100,relu,0.001,0.017827280900316704,0.08286985453517695,510,327,42.66
9,9,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",1,16,3,same,1,tanh,False,3,True,1,False,1,100,relu,0.2,100,relu,0.001,0.017349457752468413,0.08186045314493069,534,332,45.25
