counter,col_selection,HISTORY,STEP_FACTOR,LEVEL,WAVELET,FILTERS1,KERNEL_SIZE1,PADDING1,DILATION_RATE1,ACTIVATION1,CONV2,POOL_SIZE1,CONV_POOL2,DENSE_UNITS,DROPOUT,ACTIVATION2,OPTIMIZER,mse,mae,train_samples,test_samples,train_time
0,[],3,1,0,haar,32,2,same,1,relu,TRUE,2,FALSE,60,0.2,relu,Adam,0.017984062,0.084990143,510,321,33.13
1,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",3,1,0,haar,32,2,same,1,relu,TRUE,2,FALSE,60,0.2,relu,Adam,0.017924408,0.083972664,510,321,18.65
2,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,1,0,haar,32,2,same,1,relu,TRUE,2,FALSE,60,0.2,relu,Adam,0.017584535,0.084155598,490,318,18.44
3,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,0,haar,32,2,same,1,relu,TRUE,2,FALSE,60,0.2,relu,Adam,0.017275642,0.083714801,489,318,17.17
4,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,0,haar,32,2,same,1,relu,TRUE,2,FALSE,60,0.2,relu,Adam,0.017130178,0.082647412,486,318,18.78
5,[],3,1,0,haar,32,2,same,1,relu,TRUE,3,FALSE,60,0.2,relu,Adam,0.017962564,0.084654769,510,321,16.85
6,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",3,1,0,haar,32,2,same,1,relu,TRUE,3,FALSE,60,0.2,relu,Adam,0.017991636,0.086283819,510,321,18.41
7,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,1,0,haar,32,2,same,1,relu,TRUE,3,FALSE,60,0.2,relu,Adam,0.017522613,0.084695268,490,318,18.5
8,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,0,haar,32,2,same,1,relu,TRUE,3,FALSE,60,0.2,relu,Adam,0.017477842,0.083268996,489,318,16.7
9,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,0,haar,32,2,same,1,relu,TRUE,3,FALSE,60,0.2,relu,Adam,0.017269791,0.083838953,486,318,18.47
10,[],3,1,1,haar,32,2,same,1,relu,TRUE,2,FALSE,60,0.2,relu,Adam,0.017658524,0.084722591,510,321,33.95
11,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",3,1,1,haar,32,2,same,1,relu,TRUE,2,FALSE,60,0.2,relu,Adam,0.017737955,0.087176878,510,321,36
12,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,1,1,haar,32,2,same,1,relu,TRUE,2,FALSE,60,0.2,relu,Adam,0.017166545,0.084116602,490,318,35.59
13,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,1,haar,32,2,same,1,relu,TRUE,2,FALSE,60,0.2,relu,Adam,0.017275954,0.083790853,489,318,33.04
14,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,1,haar,32,2,same,1,relu,TRUE,2,FALSE,60,0.2,relu,Adam,0.016745492,0.082054427,486,318,35.34
15,[],3,1,1,haar,32,2,same,1,relu,TRUE,3,FALSE,60,0.2,relu,Adam,0.017686109,0.084471484,510,321,33.66
16,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",3,1,1,haar,32,2,same,1,relu,TRUE,3,FALSE,60,0.2,relu,Adam,0.017747887,0.086143545,510,321,35.33
17,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,1,1,haar,32,2,same,1,relu,TRUE,3,FALSE,60,0.2,relu,Adam,0.016949047,0.08260217,490,318,35.4
18,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,1,haar,32,2,same,1,relu,TRUE,3,FALSE,60,0.2,relu,Adam,0.017178018,0.082449681,489,318,33.03
19,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",3,1,1,haar,32,2,same,1,relu,TRUE,3,FALSE,60,0.2,relu,Adam,0.017315325,0.082351753,486,318,35.77
20,[],3,1,2,haar,32,2,same,1,relu,TRUE,2,FALSE,60,0.2,relu,Adam,0.017647886,0.08403427,510,321,50.47
21,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",3,1,2,haar,32,2,same,1,relu,TRUE,2,FALSE,60,0.2,relu,Adam,0.017669828,0.084058372,510,321,51.44
22,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",3,1,2,haar,32,2,same,1,relu,TRUE,2,FALSE,60,0.2,relu,Adam,0.017357757,0.083760153,490,318,50.53
