,counter,col_selection,HISTORY,FILTERS1,KERNEL_SIZE1,PADDING1,DILATION_RATE1,CONV_ACTIVATION,CONV2,POOL_SIZE1,CONV_POOL2,STEP_FACTOR,OPEN_END,DEPTH,LSTM1,LSTM_ACTIVATION,DROPOUT,DENSE_UNITS,ACTIVATION2,OPTIMIZER,mse,mae,train_samples,test_samples,train_time
0,0,[],1,16,3,same,1,relu,False,3,False,1,False,1,80,tanh,0.2,100,relu,0.001,0.017754368659352298,0.08551876584487689,546,333,75.2
1,1,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",1,16,3,same,1,relu,False,3,False,1,False,1,80,tanh,0.2,100,relu,0.001,0.017795010374270958,0.08436657378323989,546,333,60.39
2,2,"['181', '192', '226', '262', '288', '317', '373', '380', '532']",1,16,3,same,1,relu,False,3,False,1,False,1,80,tanh,0.2,100,relu,0.001,0.0201076820716996,0.09582011617301013,268,183,34.04
3,3,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos', '181', '192', '226', '262', '288', '317', '373', '380', '532']",1,16,3,same,1,relu,False,3,False,1,False,1,80,tanh,0.2,100,relu,0.001,0.019869157946640827,0.0961734554543136,268,183,34.96
4,4,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos', 'FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', '181', '192', '226', '262', '288', '317', '373', '380', '532']",1,16,3,same,1,relu,False,3,False,1,False,1,80,tanh,0.2,100,relu,0.001,0.01952291737981922,0.09462773354677079,260,182,33.35
5,5,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', '181', '192', '226', '262', '288', '317', '373', '380', '532']",1,16,3,same,1,relu,False,3,False,1,False,1,80,tanh,0.2,100,relu,0.001,0.018927157341247454,0.09191125542021175,260,182,33.13
6,6,"['DR_REGENM_10', 'RI_REGENM_10']",1,16,3,same,1,relu,False,3,False,1,False,1,80,tanh,0.2,100,relu,0.001,0.017982589483467475,0.08711095737494734,536,331,59.68
7,7,"['U_BOOL_10', 'T_DRYB_10', 'TN_10CM_PAST_6H_10', 'T_DEWP_10', 'TN_DRYB_10', 'T_WETB_10', 'TX_DRYB_10', 'U_10']",1,16,3,same,1,relu,False,3,False,1,False,1,80,tanh,0.2,100,relu,0.001,0.017641776861834022,0.08453654696855778,534,315,59.95
8,8,"['P_NAP_MSL_10', 'VV_10', 'AH_10', 'MOR_10']",1,16,3,same,1,relu,False,3,False,1,False,1,80,tanh,0.2,100,relu,0.001,0.017577750631138374,0.08389708003565732,510,327,57.09
9,9,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",1,16,3,same,1,relu,False,3,False,1,False,1,80,tanh,0.2,100,relu,0.001,0.017297397045551048,0.08395086452515735,534,332,60.03
10,10,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,16,3,same,1,relu,False,3,False,1,False,1,80,tanh,0.2,100,relu,0.001,0.017170112461302216,0.08259754935672699,533,332,59.74
11,11,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,16,3,same,1,relu,False,3,False,1,False,1,80,tanh,0.2,100,relu,0.001,0.016459561269064157,0.08184197751660877,532,332,59.88
12,12,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos', 'FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,16,3,same,1,relu,False,3,False,1,False,1,80,tanh,0.2,100,relu,0.001,0.016530427082544867,0.08198262017358189,532,332,62.05
13,13,[],1,16,3,same,1,relu,False,3,False,1,False,1,80,tanh,0.2,100,relu,0.0005,0.01793401076408771,0.08712149860735909,546,333,59.7
14,14,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",1,16,3,same,1,relu,False,3,False,1,False,1,80,tanh,0.2,100,relu,0.0005,0.01778986810263969,0.08275614187670327,546,333,59.29
15,15,"['181', '192', '226', '262', '288', '317', '373', '380', '532']",1,16,3,same,1,relu,False,3,False,1,False,1,80,tanh,0.2,100,relu,0.0005,0.02031088300388512,0.09700407733395688,268,183,34.2
16,16,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos', '181', '192', '226', '262', '288', '317', '373', '380', '532']",1,16,3,same,1,relu,False,3,False,1,False,1,80,tanh,0.2,100,relu,0.0005,0.02066953576104337,0.10016234300066643,268,183,34.48
17,17,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos', 'FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', '181', '192', '226', '262', '288', '317', '373', '380', '532']",1,16,3,same,1,relu,False,3,False,1,False,1,80,tanh,0.2,100,relu,0.0005,0.019493556196636744,0.09392162779121338,260,182,33.45
18,18,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', '181', '192', '226', '262', '288', '317', '373', '380', '532']",1,16,3,same,1,relu,False,3,False,1,False,1,80,tanh,0.2,100,relu,0.0005,0.019028156967772516,0.09163715161564037,260,182,32.98
19,19,"['DR_REGENM_10', 'RI_REGENM_10']",1,16,3,same,1,relu,False,3,False,1,False,1,80,tanh,0.2,100,relu,0.0005,0.01794719779401595,0.08635893088845625,536,331,60.49
