,counter,col_selection,HISTORY,STEP_FACTOR,LEVEL,WAVELET,OPEN_END,DEPTH,LSTM1,ACTIVATION1,DROPOUT,DENSE_UNITS,ACTIVATION2,OPTIMIZER,mse,mae,train_samples,test_samples,train_time
0,0,[],1,1,0,haar,False,1,100,relu,0.2,60,relu,Adam,0.01767689497500653,0.08459378029148082,546,333,46.81
1,1,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",1,1,0,haar,False,1,100,relu,0.2,60,relu,Adam,0.01836773922721514,0.08221420148739525,546,333,31.84
2,2,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",1,1,0,haar,False,1,100,relu,0.2,60,relu,Adam,0.01759745659241184,0.08426870847483707,534,332,32.09
3,3,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,1,0,haar,False,1,100,relu,0.2,60,relu,Adam,0.017257472249626392,0.08379181097358951,533,332,31.58
4,4,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,1,0,haar,False,1,100,relu,0.2,60,relu,Adam,0.01641629869958868,0.08118727436893561,532,332,31.74
5,5,[],1,1,1,haar,False,1,100,relu,0.2,60,relu,Adam,0.017791081148789474,0.08629096452479776,546,333,53.0
6,6,"['year_2015', 'year_2016', 'year_2017', 'month_sin', 'month_cos', 'day_sin', 'day_cos', 'hour_sin', 'hour_cos', 'minute_sin', 'minute_cos']",1,1,1,haar,False,1,100,relu,0.2,60,relu,Adam,0.017625879693716623,0.084953759495173,546,333,53.59
7,7,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10']",1,1,1,haar,False,1,100,relu,0.2,60,relu,Adam,0.017588288654471065,0.08408639975498802,534,332,53.81
8,8,"['Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,1,1,haar,False,1,100,relu,0.2,60,relu,Adam,0.017232760145049958,0.08308987223372943,533,332,53.81
9,9,"['FF_10M_10', 'DD_10_sin', 'DD_10_cos', 'DDN_10_sin', 'DDN_10_cos', 'DD_STD_10_sin', 'DD_STD_10_cos', 'DDX_10_sin', 'DDX_10_cos', 'FF_SENSOR_10', 'FF_10M_STD_10', 'FX_SENSOR_10', 'Q_GLOB_10', 'QN_GLOB_10', 'QX_GLOB_10', 'SQ_10']",1,1,1,haar,False,1,100,relu,0.2,60,relu,Adam,0.016474161449273633,0.0805111854075681,532,332,53.97
